PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40202755","Foley Catheter Management: A Review","Cameron AP, Werneburg GT.","JAMA Surg. 2025 Jun 1;160(6):701-707. doi: 10.1001/jamasurg.2025.0565.","Cameron AP","JAMA Surg","2025","2025/04/09","","","10.1001/jamasurg.2025.0565"
"35437959","Catheter-associated urinary tract infections in patients who have undergone radical cystectomy for bladder cancer: A prospective randomized clinical study of two silicone catheters (clinical benefit of antibiotic silicone material)","Tae BS, Oh JJ, Jeong BC, Ku JH.","Investig Clin Urol. 2022 May;63(3):334-340. doi: 10.4111/icu.20210436. Epub 2022 Mar 28.","Tae BS","Investig Clin Urol","2022","2022/04/19","PMC9091833","","10.4111/icu.20210436"
"36729534","Short-Term Indwelling Foley Catheters Do Not Reduce the Risk of Postoperative Urinary Retention in Uncomplicated Primary THA and TKA: A Randomized Controlled Trial","Weintraub MT, Yang J, Nam D, Greenspoon JA, DeBenedetti A, Karas V, Mehta N, Della Valle CJ.","J Bone Joint Surg Am. 2023 Feb 15;105(4):312-319. doi: 10.2106/JBJS.22.00759. Epub 2022 Dec 19.","Weintraub MT","J Bone Joint Surg Am","2023","2023/02/02","","","10.2106/JBJS.22.00759"
"31669525","[Term Prelabor Rupture of Membranes: CNGOF Guidelines for Clinical Practice - Timing of Labor Induction]","Sibiude J.","Gynecol Obstet Fertil Senol. 2020 Jan;48(1):35-47. doi: 10.1016/j.gofs.2019.10.015. Epub 2019 Oct 25.","Sibiude J","Gynecol Obstet Fertil Senol","2020","2019/11/01","","","10.1016/j.gofs.2019.10.015"
"31688528","Urinary Catheter Management Approaches Among Women Undergoing Benign Gynecologic Surgery: A Randomized Trial","Lang P, Quezada Y, Whiteside J.","Female Pelvic Med Reconstr Surg. 2020 Dec 1;26(12):e73-e77. doi: 10.1097/SPV.0000000000000781.","Lang P","Female Pelvic Med Reconstr Surg","2020","2019/11/06","","","10.1097/SPV.0000000000000781"
"27506257","Stent Removal in 200 Kidney Transplant Recipients: Nonoperative Versus Endoscopic Removal","Simforoosh N, Obeid K, Javanmard B, Rezaeetalab GH, Razmjoo S, Soltani MH.","Exp Clin Transplant. 2016 Aug;14(4):385-8.","Simforoosh N","Exp Clin Transplant","2016","2016/08/11","","",""
"33636356","A comparison of the efficacy of normal saline and Savlon solutions in periurethral cleaning to reduce catheter-associated bacteriuria: A randomized control trial","Khahakaew S, Suwanpimolkul G, Wongkeskij T, Punakabutra N, Suankratay C.","Int J Infect Dis. 2021 Apr;105:702-708. doi: 10.1016/j.ijid.2021.02.086. Epub 2021 Feb 23.","Khahakaew S","Int J Infect Dis","2021","2021/02/26","","","10.1016/j.ijid.2021.02.086"
"27240799","A comparative evaluation of antimicrobial coated versus nonantimicrobial coated peripherally inserted central catheters on associated outcomes: A randomized controlled trial","Storey S, Brown J, Foley A, Newkirk E, Powers J, Barger J, Paige K.","Am J Infect Control. 2016 Jun 1;44(6):636-41. doi: 10.1016/j.ajic.2015.11.017.","Storey S","Am J Infect Control","2016","2016/06/01","","","10.1016/j.ajic.2015.11.017"
"32680619","Impact of Enhanced Recovery Pathways and early urinary catheter removal on post-operative urinary retention","Tam V, Lutfi W, Morgan K, Vasan R, Scaife R, Mahler B, Medich DS, Celebrezze JP, Watson AR, Holder-Murray J.","Am J Surg. 2020 Nov;220(5):1264-1269. doi: 10.1016/j.amjsurg.2020.06.057. Epub 2020 Jul 1.","Tam V","Am J Surg","2020","2020/07/19","","","10.1016/j.amjsurg.2020.06.057"
"39734326","The Effect of Preinduction Cervical Ripening With Synthetic Hygroscopic Dilators on Maternal Outcomes of Women With Previous Caesarean Pregnancy: A Single-Group Clinical Trial","Dorairajan G, Ravi S, Chinnakili P.","J Pregnancy. 2024 Dec 19;2024:8835464. doi: 10.1155/jp/8835464. eCollection 2024.","Dorairajan G","J Pregnancy","2024","2024/12/30","PMC11671653","","10.1155/jp/8835464"
"40988186","Purple urine bag syndrome: An unusual presentation of urinary tract infection: A case series and literature review","Basehi MF, Dallak FH, Darraj AI, Almalki SJ.","Medicine (Baltimore). 2025 Sep 19;104(38):e44638. doi: 10.1097/MD.0000000000044638.","Basehi MF","Medicine (Baltimore)","2025","2025/09/24","PMC12459526","","10.1097/MD.0000000000044638"
"39572280","Clean Intermittent Catheterisation via a Mitrofanoff Is Superior to Long Term Suprapubic Catheters for Bladder Drainage","Van der Merwe E, Loveday R, Jackson L, McCarthy L.","J Pediatr Surg. 2025 Mar;60(3):162050. doi: 10.1016/j.jpedsurg.2024.162050. Epub 2024 Nov 4.","Van der Merwe E","J Pediatr Surg","2025","2024/11/21","","","10.1016/j.jpedsurg.2024.162050"
"39744866","Silver-Coated Foley Catheters to Reduce UTIs: A Randomized Clinical Trial","Lewis K, Crisp C, Ray M, Bonglack M, Carrel-Lammert M, Aldrich E, Pauls R, Hoehn J, Yeung J.","Urogynecology (Phila). 2025 Mar 1;31(3):276-284. doi: 10.1097/SPV.0000000000001634. Epub 2025 Jan 2.","Lewis K","Urogynecology (Phila)","2025","2025/01/02","","","10.1097/SPV.0000000000001634"
"26598386","Effectiveness of Preanalytic Practices on Contamination and Diagnostic Accuracy of Urine Cultures: a Laboratory Medicine Best Practices Systematic Review and Meta-analysis","LaRocco MT, Franek J, Leibach EK, Weissfeld AS, Kraft CS, Sautter RL, Baselski V, Rodahl D, Peterson EJ, Cornish NE.","Clin Microbiol Rev. 2016 Jan;29(1):105-47. doi: 10.1128/CMR.00030-15.","LaRocco MT","Clin Microbiol Rev","2016","2015/11/25","PMC4771218","","10.1128/CMR.00030-15"
"31030965","An investigation of the effectiveness against bacteriuria of silver-coated catheters in short-term urinary catheter applications: A randomized controlled study","Akcam FZ, Kaya O, Temel EN, Buyuktuna SA, Unal O, Yurekli VA.","J Infect Chemother. 2019 Oct;25(10):797-800. doi: 10.1016/j.jiac.2019.04.004. Epub 2019 Apr 25.","Akcam FZ","J Infect Chemother","2019","2019/04/30","","","10.1016/j.jiac.2019.04.004"
"26413885","A Single Dose of Intraoperative Antibiotics Is Sufficient to Prevent Urinary Tract Infection During Ureteroscopy","Chew BH, Flannigan R, Kurtz M, Gershman B, Arsovska O, Paterson RF, Eisner BH, Lange D.","J Endourol. 2016 Jan;30(1):63-8. doi: 10.1089/end.2015.0511. Epub 2015 Oct 20.","Chew BH","J Endourol","2016","2015/09/29","","","10.1089/end.2015.0511"
"32810948","[Verification of clinical applicability of the non-special perioperative administration for enhanced recovery after surgery of gastric cancer patients: a Chinese single-center observational report]","He WT, Deng JY, Liang H, Zhang RP, Guo JT, Zhang NN, Guo SW.","Zhonghua Wei Chang Wai Ke Za Zhi. 2020 Aug 25;23(8):766-773. doi: 10.3760/cma.j.cn.441530-20190924-00357.","He WT","Zhonghua Wei Chang Wai Ke Za Zhi","2020","2020/08/19","","","10.3760/cma.j.cn.441530-20190924-00357"
"28247658","[Comparative evaluation of the efficacy of uncoated and coated with silver silicone urethral catheters for prevention of urinary tract infections among patients of the intensive care unit]","Sergevnin VI, Klyuchareva NM, Antipin DP, Laricheva EN.","Urologiia. 2016 Apr;(2):33-36.","Sergevnin VI","Urologiia","2016","2017/03/02","","",""
